zipcode,num_households,agi_1_per,agi_2_per,agi_3_per,agi_4_per,agi_5_per,agi_6_per,mean_agi,state_avg_home_price,Real_estate_tax_rate,population,density,State
45807,5990,0.320534224,0.247078464,0.165275459,0.113522538,0.12687813,0.026711185,2.559265442,145700,1.56,12407,62.1,OH
45808,140,0.357142857,0.357142857,0.285714286,0,0,0,1.928571429,145700,1.56,363,253.4,OH
45810,2860,0.367132867,0.265734266,0.15034965,0.101398601,0.104895105,0.01048951,2.342657343,145700,1.56,8230,52.2,OH
45812,850,0.4,0.305882353,0.176470588,0.070588235,0.047058824,0,2.058823529,145700,1.56,1973,18.8,OH
45813,1690,0.337278107,0.289940828,0.183431953,0.094674556,0.094674556,0,2.319526627,145700,1.56,3616,24.9,OH
45814,1280,0.3125,0.265625,0.1640625,0.125,0.109375,0.0234375,2.5234375,145700,1.56,3212,28.4,OH
45817,2940,0.289115646,0.224489796,0.180272109,0.132653061,0.146258503,0.027210884,2.704081633,145700,1.56,6892,40.3,OH
45819,110,0.363636364,0.363636364,0.272727273,0,0,0,1.909090909,145700,1.56,265,346.5,OH
45821,640,0.375,0.296875,0.15625,0.109375,0.0625,0,2.1875,145700,1.56,1186,14,OH
45822,9950,0.371859296,0.28241206,0.15678392,0.089447236,0.081407035,0.018090452,2.28040201,145700,1.56,18714,44.6,OH
45827,1080,0.296296296,0.305555556,0.175925926,0.092592593,0.12962963,0,2.453703704,145700,1.56,2050,14.8,OH
45828,3170,0.299684543,0.277602524,0.179810726,0.110410095,0.104100946,0.028391167,2.52681388,145700,1.56,6248,71.6,OH
45830,2950,0.33559322,0.26440678,0.159322034,0.108474576,0.122033898,0.010169492,2.447457627,145700,1.56,5796,25.4,OH
45831,1470,0.340136054,0.292517007,0.156462585,0.102040816,0.095238095,0.013605442,2.360544218,145700,1.56,3269,16.7,OH
45832,1370,0.328467153,0.284671533,0.167883212,0.109489051,0.109489051,0,2.386861314,145700,1.56,2923,16.1,OH
45833,5230,0.355640535,0.282982792,0.158699809,0.101338432,0.084130019,0.017208413,2.326959847,145700,1.56,10605,59.7,OH
45835,210,0.333333333,0.285714286,0.19047619,0.19047619,0,0,2.238095238,145700,1.56,519,9.9,OH
45836,660,0.363636364,0.287878788,0.181818182,0.090909091,0.075757576,0,2.227272727,145700,1.56,1344,23.8,OH
45840,27350,0.357952468,0.259597806,0.146983547,0.091042048,0.110054845,0.034369287,2.438756856,145700,1.56,55820,126.6,OH
45841,460,0.304347826,0.282608696,0.152173913,0.130434783,0.130434783,0,2.5,145700,1.56,818,14,OH
45843,1650,0.327272727,0.303030303,0.16969697,0.109090909,0.090909091,0,2.333333333,145700,1.56,4117,14.3,OH
45844,1610,0.291925466,0.254658385,0.173913043,0.124223602,0.136645963,0.01863354,2.614906832,145700,1.56,3172,23.1,OH
45845,1690,0.295857988,0.26035503,0.165680473,0.106508876,0.142011834,0.029585799,2.627218935,145700,1.56,2871,38.3,OH
45846,2180,0.316513761,0.266055046,0.169724771,0.100917431,0.110091743,0.036697248,2.532110092,145700,1.56,4297,23,OH
45849,520,0.365384615,0.307692308,0.153846154,0.096153846,0.076923077,0,2.211538462,145700,1.56,1084,10.6,OH
45850,1720,0.302325581,0.273255814,0.191860465,0.110465116,0.110465116,0.011627907,2.488372093,145700,1.56,3419,23.5,OH
45851,280,0.321428571,0.321428571,0.107142857,0.107142857,0.142857143,0,2.428571429,145700,1.56,746,7.6,OH
45856,2420,0.342975207,0.280991736,0.157024793,0.103305785,0.103305785,0.012396694,2.380165289,145700,1.56,5211,19.1,OH
45858,1490,0.33557047,0.308724832,0.154362416,0.100671141,0.100671141,0,2.322147651,145700,1.56,2880,18.9,OH
45860,1110,0.297297297,0.234234234,0.18018018,0.117117117,0.144144144,0.027027027,2.657657658,145700,1.56,2314,25.1,OH
45862,660,0.363636364,0.318181818,0.166666667,0.090909091,0.060606061,0,2.166666667,145700,1.56,1524,15.9,OH
45863,570,0.350877193,0.315789474,0.157894737,0.105263158,0.070175439,0,2.228070175,145700,1.56,1279,16.1,OH
45865,2630,0.307984791,0.209125475,0.159695817,0.121673004,0.155893536,0.045627376,2.745247148,145700,1.56,4905,57.8,OH
45867,600,0.316666667,0.283333333,0.15,0.116666667,0.133333333,0,2.466666667,145700,1.56,1113,17.9,OH
45868,330,0.272727273,0.303030303,0.212121212,0.121212121,0.090909091,0,2.454545455,145700,1.56,650,14.1,OH
